title,description,pubDate
"서울시립대, 학생부종합전형 운영 사례 공유 컨퍼런스","행사는 2022학년도 서울시립대학교 입학전형 결과 공유 및 학생부종합전형 결과분석(지원자 및 최종합격자 분석, 코로나 19 면접 운영 사례, 계열별 선발 사례), 2023학년도 입학전형 주요사항 안내, Q&amp;A순으로 진행된다....","Fri, 04 Feb 2022 15:33:00 +0900"
"""스텔스 오미크론, 감염력 15% 더 높다""-日 전문가",이른바 '스텔스 오미크론'으로 알려진 신종 코로나바이러스 감염증(코로나19) 오미크론 변이의 하위 유형 'BA.2'의 감염력이 기존 오미크론 변이보다 약 15% 더 높다는 일본 전문가의 분석 결과가 나왔다. BA.2는 일부...,"Fri, 04 Feb 2022 15:33:00 +0900"
"대전교육청, 2월 등교 '대면수업' 원칙…자가진단키트 보급","시교육청은 설 명절 이후 코로나19 확산에 따른 긴급 대책회의를 열고 학교 여건에 따른 시차등교, 원격수업... 시교육청 관계자는 “코로나19 검사체계 개편에 따른 교육현장의 혼란이 최소화될 수 있도록 노력하겠다”며...","Fri, 04 Feb 2022 15:33:00 +0900"
"예천군, 중앙시장 아케이드 교체·공용화장실 신축","6억4천만 원 예산 투입해 쾌적한 장보기 환경 조성 조인호 기자, 예천군은 지난해 ‘골목상권 코로나 극복 특별환경개선사업’ , ‘클린 5일장 육성 사업’ 공모에 선정돼 6억4천만 원 예산을 들여 예천읍 중앙시장 천정...","Fri, 04 Feb 2022 15:32:00 +0900"
"여수시, 선별진료소 3개소 ‘우리동네 자가검사소’ 5개소 운영",자가진단키트 활용 코로나19 검사···꼭 필요한 분만 이용해 달라 / 4일까지 관내 약국에도 자가진단키트... 시에 따르면 ‘우리동네 자가검사소’는 코로나19 확진자를 선제적으로 판별해 지역 내 확산을 막기 위한...,"Fri, 04 Feb 2022 15:32:00 +0900"
"코로나19 방역 푼 덴마크, 2차 접종 해외입국자 자가격리 면제",유럽연합 회원국 가운데 처음으로 코로나19 방역을 완전 해제한 덴마크가 해외입국자에 대한 입국 절차도 대폭 완화했다. 덴마크에 입국자 중 예방접종을 마쳤거나 코로나19에 감염력이 있는 사람 가운데 ▲입국 270일...,"Fri, 04 Feb 2022 15:32:00 +0900"
"가세티 시장, ""숨 참았으니 전염 안돼"" 마스크 미착용 해명",에릭 가세티 LA시장이 코로나19 방역 지침에 따른마스크 착용 의무를 위반하고도 궁색한 해명을 내놓아 도마... 앞서 뉴섬 주지사는 지난 2020년 코로나 봉쇄령 당시 방역 수칙을 어기고 고급식당에서 열린 로비스트...,"Fri, 04 Feb 2022 15:32:00 +0900"
"순천시 보건소, 코로나19 총력대응 위해 진료 및 제증명 업무 잠정 중단","코로나19 오미크론 변이바이러스 지역 확산방지에 총력 대응 구정준 기자, 순천시(시장 허석)는 4일부터 코로나19 지역 확산 방지를 위해 보건소 일반진료 및 제증명발급 등 민원업무를 잠정 중단한다. 오미크론 변이...","Fri, 04 Feb 2022 15:32:00 +0900"
"청송군, 군민이 살기좋은 행복한 도시환경 조성","우선 2년 동안 계속된 코로나로 인해 누구보다도 어려움을 겪고 있는 자영업자와 소상공인들을 위하여... “특히 코로나로 어려움을 겪고 있는 소상공인들에게 힘을 보태고, 일자리 문제를 해결하는 등 침체된...","Fri, 04 Feb 2022 15:32:00 +0900"
"전남 강진군민장학재단, 추위 녹이는 따뜻한 장학금 기탁 봇물",있다”며 “코로나19 장기화 여파로 인해 침체된 지역인재 육성 사업에 사용해 달라”고 말했다.... 장학금은 코로나로 어려운 시기에 강진 학생들의 더 나은 교육 환경 조성을 위해 사용 하겠다”고 말했다. 김선미...,"Fri, 04 Feb 2022 15:32:00 +0900"
"'일 최다 47명' 확진에 사천시, ""오미크론 확산 저지에 총력""",홍민희 사천시장 권한대행이 사천지역 코로나19 확진자가 급증함에 따라 전 공무원에게 오미크론 바이러스 확산 방지에 총력대응을 지시했다. 홍 권한대행은 4일 오전 재난안전대책본부에서 간부회의를 열고 코로나19...,"Fri, 04 Feb 2022 15:32:00 +0900"
